Phi [deg],dB(GainTotal) - Theta=90deg Freq=120MHz,dB(GainTotal) - Theta=90deg Freq=150MHz,dB(GainTotal) - Theta=90deg Freq=225MHz,dB(GainTotal) - Theta=90deg Freq=300MHz
-64.00000,1.84787,2.42063,3.37594,1.50088
-63.00000,1.85700,2.45917,3.34859,1.51699
-62.00000,1.86633,2.49765,3.30822,1.55056
-61.00000,1.87583,2.53581,3.25632,1.60319
-60.00000,1.88546,2.57338,3.19469,1.67551
-59.00000,1.89518,2.61009,3.12534,1.76724
-58.00000,1.90495,2.64563,3.05052,1.87709
-57.00000,1.91474,2.67968,2.97261,2.00293
-56.00000,1.92448,2.71192,2.89411,2.14188
-55.00000,1.93416,2.74202,2.81758,2.29047
-54.00000,1.94370,2.76969,2.74556,2.44490
-53.00000,1.95308,2.79461,2.68047,2.60124
-52.00000,1.96223,2.81649,2.62463,2.75567
-51.00000,1.97113,2.83508,2.58011,2.90469
-50.00000,1.97972,2.85014,2.54874,3.04535
-49.00000,1.98796,2.86146,2.53201,3.17533
-48.00000,1.99580,2.86887,2.53111,3.29308
-47.00000,2.00322,2.87225,2.54679,3.39786
-46.00000,2.01017,2.87152,2.57944,3.48974
-45.00000,2.01661,2.86662,2.62898,3.56953
-44.00000,2.02252,2.85757,2.69490,3.63869
-43.00000,2.02787,2.84444,2.77626,3.69921
-42.00000,2.03264,2.82732,2.87164,3.75340
-41.00000,2.03681,2.80639,2.97927,3.80372
-40.00000,2.04035,2.78185,3.09701,3.85259
-39.00000,2.04327,2.75398,3.22243,3.90217
-38.00000,2.04555,2.72308,3.35295,3.95427
-37.00000,2.04719,2.68950,3.48586,4.01019
-36.00000,2.04819,2.65366,3.61846,4.07077
-35.00000,2.04856,2.61598,3.74816,4.13629
-34.00000,2.04831,2.57694,3.87249,4.20661
-33.00000,2.04744,2.53702,3.98925,4.28121
-32.00000,2.04598,2.49673,4.09649,4.35923
-31.00000,2.04395,2.45659,4.19258,4.43962
-30.00000,2.04136,2.41713,4.27621,4.52109
-29.00000,2.03825,2.37884,4.34639,4.60227
-28.00000,2.03465,2.34223,4.40245,4.68162
-27.00000,2.03057,2.30775,4.44405,4.75756
-26.00000,2.02606,2.27584,4.47112,4.82846
-25.00000,2.02115,2.24688,4.48384,4.89269
-24.00000,2.01587,2.22120,4.48267,4.94869
-23.00000,2.01026,2.19907,4.46823,4.99506
-22.00000,2.00437,2.18070,4.44135,5.03058
-21.00000,1.99822,2.16622,4.40297,5.05435
-20.00000,1.99186,2.15570,4.35419,5.06577
-19.00000,1.98532,2.14915,4.29614,5.06468
-18.00000,1.97866,2.14647,4.23005,5.05131
-17.00000,1.97190,2.14754,4.15713,5.02635
-16.00000,1.96510,2.15214,4.07863,4.99086
-15.00000,1.95828,2.16002,3.99575,4.94633
-14.00000,1.95149,2.17085,3.90967,4.89452
-13.00000,1.94478,2.18428,3.82151,4.83744
-12.00000,1.93817,2.19993,3.73233,4.77725
-11.00000,1.93172,2.21736,3.64312,4.71613
-10.00000,1.92546,2.23615,3.55483,4.65620
-9.00000,1.91942,2.25585,3.46832,4.59943
-8.00000,1.91366,2.27602,3.38440,4.54754
-7.00000,1.90820,2.29621,3.30385,4.50199
-6.00000,1.90309,2.31601,3.22739,4.46390
-5.00000,1.89835,2.33501,3.15572,4.43407
-4.00000,1.89403,2.35285,3.08951,4.41303
-3.00000,1.89016,2.36920,3.02941,4.40101
-2.00000,1.88677,2.38375,2.97606,4.39805
-1.00000,1.88389,2.39626,2.93006,4.40402
0.00000,1.88155,2.40652,2.89203,4.41861
1.00000,1.87978,2.41438,2.86251,4.44146
2.00000,1.87861,2.41974,2.84205,4.47205
3.00000,1.87804,2.42255,2.83109,4.50982
4.00000,1.87812,2.42282,2.83005,4.55408
5.00000,1.87884,2.42061,2.83922,4.60405
6.00000,1.88023,2.41604,2.85879,4.65886
7.00000,1.88230,2.40927,2.88882,4.71752
8.00000,1.88504,2.40052,2.92921,4.77894
9.00000,1.88847,2.39006,2.97969,4.84198
10.00000,1.89258,2.37819,3.03981,4.90541
11.00000,1.89737,2.36524,3.10892,4.96801
12.00000,1.90282,2.35159,3.18616,5.02855
13.00000,1.90892,2.33764,3.27051,5.08587
14.00000,1.91564,2.32380,3.36073,5.13893
15.00000,1.92297,2.31048,3.45544,5.18676
16.00000,1.93087,2.29811,3.55310,5.22858
17.00000,1.93929,2.28708,3.65206,5.26376
18.00000,1.94822,2.27778,3.75059,5.29184
